,id,title,popularity,release_date
123,556574,Hamilton,18.717,2020-07-03
124,16672,Woman in the Dunes,21.204,1964-02-15
125,5156,Bicycle Thieves,18.7,1948-07-21
126,476292,Maquia: When the Promised Flower Blooms,29.289,2018-02-24
127,490,The Seventh Seal,19.171,1957-02-16
128,313106,Doctor Who: The Day of the Doctor,15.851,2013-11-23
129,629,The Usual Suspects,32.776,1995-07-19
130,797,Persona,18.703,1966-10-18
131,620683,My Mom Is a Character 3,14.035,2019-12-26
132,68718,Django Unchained,49.369,2012-12-25
133,77,Memento,29.422,2000-10-11
134,20334,The Shop Around the Corner,14.923,1940-01-12
135,10098,The Kid,16.188,1921-01-21
136,592350,My Hero Academia: Heroes Rising,44.261,2019-12-20
137,26451,Investigation of a Citizen Above Suspicion,14.289,1970-10-16
138,92060,Michael Jackson's Thriller,12.927,1983-11-14
139,537061,Steven Universe: The Movie,20.541,2019-10-07
140,20941,Innocent Voices,20.423,2005-01-28
141,18148,Tokyo Story,27.808,1953-11-03
142,810693,Jujutsu Kaisen 0,94.147,2021-12-24
143,426,Vertigo,31.384,1958-05-28
144,1422,The Departed,46.071,2006-10-04
145,111,Scarface,85.792,1983-12-09
146,693134,Dune: Part Two,216.776,2024-02-27
147,1026227,There's Still Tomorrow,38.958,2023-10-26
148,872,Singin' in the Rain,37.478,1952-04-09
149,851644,20th Century Girl,96.024,2022-10-06
150,81481,Silenced,32.506,2011-09-22
151,289,Casablanca,44.552,1943-01-15
152,489,Good Will Hunting,67.697,1997-12-05
153,475557,Joker,132.28,2019-10-01
154,422,8½,17.152,1963-02-14
155,606856,Togo,19.976,2019-12-20
156,517814,Capernaum,19.81,2018-09-20
157,348,Alien,253.942,1979-05-25
158,399106,Piper,13.079,2016-06-16
159,1398,Stalker,29.486,1979-05-25
160,791373,Zack Snyder's Justice League,83.731,2021-03-18
161,575813,Better Days,29.312,2019-10-25
162,103,Taxi Driver,51.098,1976-02-09
163,133919,Scenes from a Marriage,11.945,1974-09-15
164,37165,The Truman Show,94.494,1998-06-04
165,458220,Palmer,29.012,2021-01-28
166,406997,Wonder,53.14,2017-11-13
167,398818,Call Me by Your Name,52.013,2017-07-28
168,614,Wild Strawberries,13.656,1957-08-28
169,600,Full Metal Jacket,100.072,1987-06-26
170,470044,The Hate U Give,28.347,2018-10-19
171,55823,The Great War,6.47,1959-10-28
172,508442,Soul,56.936,2020-12-25
173,20914,My Friends,6.019,1975-10-24
174,518068,Along with the Gods: The Last 49 Days,30.271,2018-08-01
175,500,Reservoir Dogs,37.521,1992-09-02
176,19,Metropolis,28.743,1927-02-06
177,762975,Purple Hearts,43.068,2022-07-29
178,600354,The Father,21.768,2020-12-23
179,9702,Bound by Honor,72.196,1993-02-05
180,280,Terminator 2: Judgment Day,89.436,1991-07-03
181,996,Double Indemnity,14.482,1944-07-06
182,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,37.379,1964-01-29
183,9702,Bound by Honor,72.196,1993-02-05
184,843,In the Mood for Love,31.702,2000-09-29
185,663558,New Gods: Nezha Reborn,21.744,2021-02-06
186,531428,Portrait of a Lady on Fire,29.072,2019-09-18
187,38288,I corti,5.016,1996-03-29
188,411088,The Invisible Guest,39.353,2017-01-06
189,838240,Robot Dreams,76.144,2023-12-06
190,46738,Incendies,33.092,2010-09-17
191,664767,Mortal Kombat Legends: Scorpion's Revenge,45.958,2020-04-12
192,666,Central Station,15.075,1998-11-20
193,655,"Paris, Texas",21.65,1984-07-16
194,103663,The Hunt,39.83,2012-06-13
195,239,Some Like It Hot,30.523,1959-03-19
196,38,Eternal Sunshine of the Spotless Mind,63.563,2004-03-19
197,11878,Yojimbo,20.446,1961-04-25
198,755812,"Miraculous World: New York, United HeroeZ",29.422,2020-09-25
199,555604,Guillermo del Toro's Pinocchio,31.857,2022-11-09
200,146233,Prisoners,55.332,2013-09-19
201,20532,Sansho the Bailiff,14.629,1954-03-31
202,24382,Big Deal on Madonna Street,9.416,1958-07-26
203,705,All About Eve,13.664,1950-11-09
204,406,La Haine,27.702,1995-05-31
205,12445,Harry Potter and the Deathly Hallows: Part 2,111.208,2011-07-12
206,872585,Oppenheimer,180.293,2023-07-19
207,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,25.407,2019-08-30
208,149871,The Tale of The Princess Kaguya,27.873,2013-11-23
209,3780,Red Beard,23.439,1965-04-03
210,439,La Dolce Vita,38.413,1960-02-05
211,10681,WALL·E,75.544,2008-06-22
212,2457,Children of Paradise,11.163,1945-03-15
213,832,M,16.735,1931-05-11
214,387,Das Boot,27.581,1981-09-17
215,548,Rashomon,23.208,1950-08-26
216,397567,Along with the Gods: The Two Worlds,39.085,2017-12-20
217,550776,Believe Me: The Abduction of Lisa McVey,40.544,2018-09-30
218,7345,There Will Be Blood,33.122,2007-12-26
219,640344,Me Against You: Mr. S's Vendetta,5.602,2020-01-17
220,831827,Far from the Tree,11.283,2021-11-24
